time,pPV
1642108500,15.32
1642109400,15.6
1642110300,15.44
1642111200,9.2
1642112100,8.84
1642113000,9.16
1642113900,8.68
1642114800,9.04
1642115700,8.84
1642116600,8.96
1642117500,8.92
1642118400,8.92
1642119300,8.96
1642120200,8.92
1642121100,9.12
1642122000,8.72
1642122900,9.12
1642123800,8.76
1642124700,9.12
1642125600,8.72
1642126500,9.08
1642127400,8.72
1642128300,9.12
1642129200,8.88
1642130100,9.16
1642131000,8.88
1642131900,8.88
1642132800,9.96
1642133700,10.2
1642134600,10.24
1642135500,9.96
1642136400,10.0
1642137300,9.76
1642138200,10.16
1642139100,10.4
1642140000,16.32
1642140900,17.8
1642141800,17.16
1642142700,18.52
1642143600,17.12
1642144500,21.32
1642145400,22.76
1642146300,22.44
1642147200,20.48
1642148100,21.68
1642149000,20.64
1642149900,21.76
1642150800,21.76
1642151700,22.92
1642152600,22.28
1642153500,22.8
1642154400,23.16
1642155300,23.28
1642156200,21.48
1642157100,21.12
1642158000,21.96
1642158900,23.0
1642159800,21.72
1642160700,22.32
1642161600,21.8
1642162500,23.92
1642163400,22.52
1642164300,22.92
1642165200,25.12
1642166100,25.28
1642167000,25.12
1642167900,24.76
1642168800,24.04
1642169700,23.08
1642170600,25.32
1642171500,24.2
1642172400,23.64
1642173300,21.96
1642174200,22.88
1642175100,24.04
1642176000,24.28
1642176900,22.4
1642177800,22.64
1642178700,23.28
1642179600,22.4
1642180500,22.52
1642181400,18.64
1642182300,18.08
1642183200,18.48
1642184100,19.8
1642185000,18.04
1642185900,17.52
1642186800,17.76
1642187700,17.2
1642188600,16.84
1642189500,17.2
1642190400,16.6
1642191300,16.08
1642192200,15.96
1642193100,15.72
1642194000,16.56
1642194900,15.8
1642195800,16.04
1642196700,15.76
1642197600,9.44
1642198500,9.12
1642199400,9.52
1642200300,9.28
1642201200,9.56
1642202100,9.16
1642203000,9.36
1642203900,9.28
1642204800,9.36
1642205700,9.36
1642206600,9.36
1642207500,9.48
1642208400,9.24
1642209300,9.48
1642210200,9.24
1642211100,9.48
1642212000,9.24
1642212900,9.52
1642213800,9.2
1642214700,9.6
1642215600,9.24
1642216500,9.52
1642217400,9.24
1642218300,9.44
1642219200,10.44
1642220100,10.4
1642221000,10.52
1642221900,10.28
1642222800,10.36
1642223700,10.2
1642224600,10.56
1642225500,10.36
1642226400,15.56
1642227300,16.8
1642228200,17.12
1642229100,17.0
1642230000,18.28
1642230900,17.04
1642231800,17.04
1642232700,16.92
1642233600,17.0
1642234500,17.28
1642235400,18.96
1642236300,17.16
1642237200,16.96
1642238100,17.44
1642239000,17.72
1642239900,18.4
1642240800,18.04
1642241700,17.6
1642242600,17.48
1642243500,19.2
1642244400,18.32
1642245300,19.08
1642246200,17.4
1642247100,17.56
1642248000,17.72
1642248900,17.24
1642249800,18.72
1642250700,17.64
1642251600,17.8
1642252500,19.4
1642253400,18.44
1642254300,17.92
1642255200,20.32
1642256100,19.52
1642257000,17.68
1642257900,17.0
1642258800,17.36
1642259700,17.12
1642260600,17.12
1642261500,18.44
1642262400,19.16
1642263300,18.84
1642264200,18.12
1642265100,17.88
1642266000,16.84
1642266900,16.8
1642267800,16.52
1642268700,16.88
1642269600,16.72
1642270500,16.96
1642271400,16.52
1642272300,16.8
1642273200,16.6
1642274100,16.8
1642275000,17.28
1642275900,16.36
1642276800,15.92
1642277700,15.2
1642278600,15.56
1642279500,15.4
1642280400,15.48
1642281300,15.2
1642282200,15.48
1642283100,16.56
1642284000,9.32
1642284900,8.72
1642285800,8.92
1642286700,8.88
1642287600,8.84
1642288500,8.92
1642289400,8.72
1642290300,9.16
1642291200,9.48
1642292100,9.16
1642293000,8.88
1642293900,9.04
1642294800,8.64
1642295700,9.04
1642296600,8.8
1642297500,9.2
1642298400,8.68
1642299300,9.0
1642300200,8.76
1642301100,8.96
1642302000,9.12
1642302900,8.96
1642303800,9.0
1642304700,8.76
1642305600,10.04
1642306500,9.72
1642307400,10.12
1642308300,9.84
1642309200,10.12
1642310100,9.68
1642311000,10.0
1642311900,9.72
1642312800,15.16
1642313700,16.44
1642314600,16.52
1642315500,16.52
1642316400,16.44
1642317300,16.6
1642318200,16.44
1642319100,16.72
1642320000,16.48
1642320900,16.6
1642321800,16.36
1642322700,16.68
1642323600,16.36
1642324500,16.6
1642325400,16.52
1642326300,17.44
1642327200,16.52
1642328100,16.52
1642329000,16.48
1642329900,17.16
1642330800,16.56
1642331700,16.36
1642332600,16.56
1642333500,16.32
1642334400,16.48
1642335300,16.32
1642336200,16.72
1642337100,17.08
1642338000,17.36
1642338900,17.2
1642339800,17.16
1642340700,17.2
1642341600,17.16
1642342500,17.2
